CONTENT_ID,CONTENT,CONTENT_TYPE_ID
12,"  <p>Denne boka er en nostalgisk reise <br />  i bilens verden. Den følger bilens historie <br />  fra etter krigen og fram til 80-tallet, <br />  I denne tida hadde bilene fortsatt sjel, <br />  ikke alle biler så helt like ut. <br />  Bilene blir vist fram gjennom både bilder, <br />  beskrivelser og annonser fra <br />  den tida da de var nye og populære. </p>  <div>&#160;</div>  <div>Boka har et litt rotete oppsett, <br />  men det gjør ikke så mye, <br />  for dette er ikke en bok som skal leses <br />  fra første til siste side. <br />  Dette er en bok det er morsomt å bla i <br />  og lese litt her og litt der. </div>  ",38
13,"  <p>Jan Henry T. Olsen har vært <br />  fiskeriminister i Norge. <br />  Dette er den sanne historien om <br />  hva som skjedde da han fikk <br />  diagnosen Alzheimer. <br />  Han var bare 51 år gammel, <br />  og så for seg en god alderdom <br />  sammen med kona si, Laila Lanes. <br />  I denne boka forteller hun om <br />  sjokket og fortvilelsen, <br />  men også om å holde sammen  <br />  selv når dagene blir mørkere. </p>  <div>Dette er en ærlig og personlig bok. <br />  <br />  Språket er ganske lett. Laila Lanes <br />  skriver direkte til leseren om <br />  tanker og følelser hun har. </div>  ",39
69,"  <div>Rune Johansen er en av Norges <br />  fremste fotografer. <br />  Han har tatt mange bilder <br />  rundt omkring i Norge. <br />  Denne boka er en hyllest til <br />  norske sjøfolk. </div>  <div>Boka har mange flotte fotografier.<br />  Til hvert fotografi har Rune Johansen <br />  skrevet noe om menneskene han møtte <br />  og tingene han så. </div>  <div>&#160;</div>  <div><strong>Norske sjøfolk</strong> er en bok med </div>  <div>flotte fotografier i farger. <br />  Teksten er personlig og ganke enkel. <br />  Fonten er stor noen steder og mindre<br />  andre steder i boka.  </div>  <div>&#160;</div>  <div>  <div><strong>Rune Johansen </strong>har også gitt ut </div>  <div>flere bøker fotografier og tekst.</div>  <div>Disse heter <strong>Hiv Mannskjiten</strong> (2004), </div>  <div><strong>Så lenge det vara</strong> (2005), </div>  <div><strong>I Hemsedal</strong> (2006) og </div>  <div><strong>Da æ var i Amerika</strong> (2007). </div></div>  ",49
23,"  <div>God tur! handler om alt det praktiske <br />  som kan gjøre det gøy å gå på ski. <br />  Dette er en bok som passer for deg <br />  - som synes du vet litt for lite om ski, <br />  utstyr, teknikk og smøring. <br />  - som egentlig vil gå litt oftere <br />  på ski enn du gjør <br />  - som husker at det var gøy <br />  før du selv måtte ordne med alt. </div>  <div>&#160;</div>  <p>Boka har ganske lette setninger. <br />  Oppsettet gjør at setningene blir <br />  ganske brede.</p>  ",50
24,"  <div><strong>Den Vanvittige</strong> er en samling med historier, <br />  korttekster og dikt som får deg til å tenke. <br />  Noen er nærmest som lignelser, <br />  mens andre bare er to-tre setninger lange.<br />  Alle handler om sider ved livet.  </div>  <div>&#160;</div>  <div>Forfatteren <strong>Khalil Gibran</strong> <br />  er også kjent for boka Profeten. <br />  Her kommer han med flere <br />  interessante betraktninger av livet. </div>  <div>&#160;</div>  <p>Språket er ganske enkelt, <br />  og hver fortelling er kort. </p>  ",51
25,"  <div>Året er 1940. Bjørg er 16 år gammel. <br />  Hun går rundt i gatene, alene. <br />  Hjemme ligger moren hennes alvorlig syk. <br />  Samtidig seiler det tyske krigsskipet Blücher <br />  inn Oslofjorden. Ved en av kanonene står <br />  nittenåringen Karl. <br />  De kjenner ikke hverandre, <br />  men noe skal føre dem sammen. </div>  <div>&#160;</div>  <p><strong>Mens Blücher sank</strong> er en spennende historie. <br />  Teksten er ganske enkel.</p>  ",52
26,"  <div><strong>Spor snø</strong> er en samling med <br />  veldig korte dikt. <br />  De fleste diktene er bare på <br />  tre linjer. <br />  Diktene lager fine, rare<br />  og morsomme bilder. </div>  <div>&#160;</div>  <div>Disse diktene er lette å lese, <br />  samtidig er det stor poesi. <br />  Bildene diktene skaper er<br />  lette å se for seg.  <br />  De får deg til å tenke<br />  og lage egne bilder. </div>  <div>&#160;</div>  <div><strong>Jan Erik Vold</strong> er en av Norges <br />  mest kjente diktere. <br />  Spor snø kom ut i 1970. <br />  Den er ikke lenger i salg, <br />  men finnes i samligen ""<strong>Huset er hvitt</strong>"". </div>  <div>Diktene i samlingen er dessverre satt </div>  <div>med tettere font og mindre luft </div>  <div>enn diktene i den opprinnelige utgaven. </div>  <div>Det kan derfor lønne seg å låne boka </div>  <div>på biblioteket. </div>  <div>&#160;</div>  ",53
78,"  <div>Disse diktene er enkle, rå <br />  og direkte. <br />  De handler om hvordan det er <br />  å være ung og levende.  </div>  <div>&#160;</div>  <p><strong>Gene Dalby</strong> er en poet som var<br />  talerør for punk-generasjonen i 1980-årene.  </p>  <p>Denne boka er dessverre ikke lenger <br />  i salg, men kan lånes på biblioteket. </p>  ",54
79,"  <div>Ove Ullkvam bur i ei lita bygd <br />  på Vestlandet. Ove er postmann.  <br />  Han gjer det folk ber man om, <br />  til og med når mige-magda <br />  skal ha levert urinprøva si. <br />  I fylla skriv Ove og bestekompisen <br />  Ragnar ein avtale som forandrar alt. <br />  Ein avtale som skal hjelpe Ove til å <br />  finna seg sjølv. <br />  Men Ove finn også mykje anna. <br />  Blant anna den store kjærleiken. </div>  <div>&#160;</div>  <p><strong>Tyl</strong> er ei munter forteljing <br />  med eit enkelt språk. </p>  ",55
80,"  <div>En ung ubåtkapten skal bli far <br />  for første gong. <br />  Til mannskapet sitt kan kan ikkje seie <br />  kva han tenkjer på, men han kan fortjele det <br />  til sonen som er på veg. </div>  <div>&#160;</div>  <p><strong>Bjørn Sortland</strong> skriv enkelt og poetisk <br />  i denne bileteboka for vaksne. <br />  Bileta er laga av den nederlandske <br />  kunstnaren <strong>Paul Dikker</strong>. </p>  ",56
87,  <div><strong>Levende - vips død!</strong> handler om <br />  en mann som er redd for alt mulig. <br />  Blant annet er han redd for å dø. <br />  Psykologen P.J.Brinckmann verver <br />  pasientene sine ved å dele ut <br />  visittkort på trikken. <br />  Mottoet hans er: Frykten er vår venn. <br />  Hva skjer når de to møtes? </div>  <div>&#160;</div>  <p>Boka har korte kapitler <br />  og ganske enkelt språk. <br />  Det er en morsom bok som får oss til å le<br />  av alt det vi er redde for. </p>  ,57
88,"  <div><strong>Noe som hjelper</strong> handler om Laura. <br />  Hun er en ung jente <br />  som finner sine egne veier <br />  på vei mot voksenlivet. <br />  Hun opplever vennskap og tap, <br />  og seg selv som seksuelt vesen. </div>  <div>&#160;</div>  <p>Boka har et rolig og klart språk. </p>  ",58
89,"  <div>Denne boka handler om <br />  hvordan det kan være å <br />  ha en mor som drikker. <br />  Mor er stadig full. <br />  Hun gjør ting som andre mødre </div>  <div>ikke gjør. </div>  <div>&#160;</div>  <div><strong>Hva er det med mor?</strong> er en viktig bok </div>  <div>om et viktig tema. <br />  Språket er direkte, selv om <br />  noen ord er vanskelige.</div>  ",59
94,"  <div>Ofte handler det om kjærestepar, <br />  og nesten like ofte om unge menn eller kvinner <br />  som gjerne skulle hatt en kjæreste. </div>  <div>&#160;</div>  <p>Disse korte fortellingene er skrevet <br />  med overskudd. De er lette å lese, <br />  men får deg til å tenke. <br />  Fonten er litt liten. <br />  Boka har enkle og fine tegninger <br />  i sort /hvitt. </p>  ",60
95,"  <div>Trym og Robban er bestevenner. <br />  De vokser opp i Surnadal. <br />  På fritida mekker de bil sammen.<br />  Men så begynner de på ungdomsskolen. <br />  Robban blir mobbeoffer, og Trym <br />  klarer ikke å forsvare ham. </div>  <div>&#160;</div>  <p>Fortellingen i denne boka <br />  er både mørk og tøff. <br />  Kapitlene er korte og <br />  språket er ganske enkelt. <br />  Mange av ordene deles tilfeldig <br />  og kan derfor være vanskelig å lese. <br />  Teksten er tett og har rett høyremarg. </p>  ",61
96,"  <div>Dette er en lett og leken <br />  samling med dikt om å <br />  være arbeidsledig og å prøve å <br />  bli dikter. <br />  Forfatteren skriver også om <br />  andre forfattere, filmer, <br />  sanger og dikt. </div>  <div>&#160;</div>  <div>Mange av diktene er fortellende <br />  og lette å forstå. <br />  Språket er direkte og enkelt. </div>  <div>&#160;</div>  <p><strong>Audun Mortensen</strong> er debutant. <br />  Han fikk god kritikk for boka. </p>  ",62
97,"  <div>Dette er dikt som hander om <br />  et jeg og et deg, <br />  og om hva et dikt kan være. </div>  <div>&#160;</div>  <p>Mange av diktene har korte setninger <br />  og er lette å forstå. <br />  Noen er lengre og kan være vanskelige, <br />  men de kan være fine å lese likevel. </p>  ",63
98,  <div>Dette er ein samlig  <br />  morsomme og rare tulledikt. <br />  Dikta handlar om ein oppvekst <br />  med mor og far og andre <br />  som gjer rare ting. </div>  <div><br />  Boka passar for alle <br />  som er glad i tull og tøys!  </div>  <div>Dikta er på rim og er <br />  lette å lese. </div>  <div><br />  <strong>Jon Hjørnevik</strong> har gitt ut fleire diktsamlingar: <br />  I ein sofa frå Korea (2001) <br />  Den vanskelege andreboka (2002) <br />  Mor mi står i glaset (2008) </div>  ,64
99,"  <div>Han er fjorten år gammel, <br />  og drømmen hans er å bli <br />  en stor skihopper. <br />  Han har nettopp fått farens skihelt,<br />  Per Stranden, som trener. <br />  Han har talent.<br />  På treninga setter han utfor bakken. <br />  Beina svikter i svevet, og han faller stygt. <br />  Legen forteller ham at han har <br />  en alvorlig muskelsykdom. <br />  Bare et hopp til kan være livsfarlig. <br />  Hjemme er det noe rart med mor. <br />  Far forsøker å glatte over. <br />  Skal han fortelle foreldrene <br />  hva legen har sagt? <br />  Eller skal han holde det hemmelig <br />  for å få hoppe en siste gang? </div>  <div>&#160;</div>  <div><strong>Vekten av snøkrystaller</strong> er en <br />  spennende og rørende bok <br />  om å få livet sitt forandret. <br />  Språket er enkelt og tydelig. <br />  Fonten er ganske liten. </div>  <div>&#160;</div>  <p>Forfatteren <strong>Thorvald Steen</strong> vet selv <br />  hvordan det er å ha en muskelsykdom. <br />  Før han skrev <strong>Vekten av snøkrystaller</strong> <br />  skrev han boka <strong>Bare en siste gang</strong>. <br />  Ba<strong>re en siste gang</strong> er en kort, liten <br />  fortelling om det som skjedde. <br />  Den finnes også på lydbok.</p>  ",65
100,"  <div>Lillebroren i denne boka <br />  beundrer storebroren sin, Hannu. <br />  Hver dag drar Hannu ut i skogen. <br />  Han blir lenge borte. <br />  Noen dager kommer han ikke hjem <br />  i det hele tatt. <br />  Hva gjør han egentlig der ute? <br />  Denne sommeren skjer det ting <br />  som blir dramatisk for begge brødrene. </div>  <div>&#160;</div>  <p>Dette er en rørende bok <br />  med enkelt språk. <br />  Forlaget skriver: Det finnes <br />  noen ganske få bøker som virkelig kan <br />  sies å passe for alle aldre. <br />  <strong>Hannu, Hannu</strong> er en av dem. </p>  ",66
101,"  <div>Foreldra til Aksel skal gå frå kvarandre. <br />  Då pakkar Aksel en sekk med mat og klede <br />  og går sin veg han òg. <br />  Han går til eit kvitt hus inne i skogen. <br />  Der skal han bu. I fred, tenkjer Aksel. <br />  Men den eine etter den andre kjem rennande<br />  for å helsa på. <br />  Snart må Aksel likevel begynne å tenkje på <br />  det han har flykta i frå.  </div>  <div>&#160;</div>  <p>Denne boka har korte kapitler <br />  og eit enkelt, godt språk. </p>  ",67
102,"  <div>Nina Telemann, 43 år. <br />  Norsklærer i den videregående skolen. <br />  Tykke briller. Elsker Tyskland. <br />  Bror Telemann, 42 år. <br />  Elsker ikke Tyskland. <br />  Antydning til alkoholproblemer. <br />  Disse to er gift og har tre barn. <br />  Sammen drar de på ferie <br />  til Tyskland. <br />  Bror Telemann har en hemmelighet. <br />  Dagene på ferieturen går med til <br />  stille samtaler dem i mellom. <br />  Alt de trenger en liten storm<br />  for å redde både ferien og ekteskapet. </div>  <div>&#160;</div>  <div>Stille dager i Mixing Part <br />  er en morsom bok om å være </div>  <div>midtveis i livet. <br />  Språket er enkelt. <br />  Replikkene er ikke markert. <br />  Derfor kan det være vanskelig å skjønne <br />  hvem som sier hva i begynnelsen. </div>  ",68
105,"  <div>En bankfunksjonær ble tatt på fersken <br />  i senga med banksjefens kone<br />  og blir flyttet til Hogna. <br />  Hogna er et øysamfunn. <br />  De fleste flytter fra Hogna, <br />  ikke til. Og de fleste som bor på øya<br />  er menn som ikke finner noen dame <br />  å gifte seg med. <br />  Derfor har de har en ungkarsforening. <br />  Den drives av noen morsomme menn <br />  med mange planer. Ikke bare skal de få <br />  flere jobber til øya. <br />  De skal få damer til øya også.<br />  Og for å få gjennomført planene <br />  trenger de hjelp fra banken.  </div>  <div>&#160;</div>  <div>Dette er en morsom bok <br />  med et lett og muntlig språk. </div>  ",69
106,"  <div>Trist som faen består av <br />  15 fortellinger. <br />  Menneskene i fortellingene <br />  leter etter en plass <br />  i verden. <br />  Fortellingene er korte <br />  og presise. </div>  <div>&#160;</div>  <p>Trist som faen er <br />  den første boka til <strong>Ari Behn</strong>. <br />  Den fikk veldig god kritikk <br />  da den kom. </p>  <p>Noen av fortellingene har <br />  ganske mange vanskelige ord, <br />  mens andre er lette å lese. </p>  ",70
71,"  <div>Aurora Lindkvist hadde på seg <br />  rød regnjakke og gummistøvler <br />  da hun gikk inn på stien. <br />  Det var ingen i nærheten, <br />  bortsett fra eieren av den røde Mazdaen <br />  som hadde fått motorstopp. <br />  Hadde ikke eieren vært så opptatt av <br />  å ringe Viking, ville hun kanskje ha sett <br />  den unge jenta som forsvant mellom trærne. <br />  I så fall hadde hun vært den siste som så <br />  Aurora Lindkvist i live. <br />  Bortsett fra morderen, naturligvis. </div>  <div>&#160;</div>  <p>Dette er den første boka i en serie <br />  på tolv bøker. <br />  Teksten er lett å lese, og fortellingen <br />  er spennende. </p>  ",72
199,  <div>Henry Chinaski trenger en jobb. <br />  Derfor begynner han å jobbe som <br />  postbud. <br />  Hverdagen som postbud er hard. <br />  Henry beskriver hverdagen sin <br />  med masse svart humor. <br />  Han er stadig full og får dagene til å gå <br />  med sex og veddeløpshester. </div>  <div>&#160;</div>  <p><strong>Postkontoret</strong> er en morsom bok <br />  som er lett å lese. <br />  Språket er muntlig og direkte. <br />  Hvert kapittel er delt inn i <br />  mange mindre avsnitt. </p>  ,73
200,"  <div>Året er 1905. <br />  Byen Oslo heter Kristianina. <br />  Norge vil frigjøre seg fra Sverige. <br />  Det er urolig i gatene.  <br />  Hans Bang forelsker seg i Inger. <br />  Inger er også opptatt av Hans Bang,<br />  i alle fall en stund. <br />  Men så dukker den mystiske  <br />  Jacob Jahn opp. <br />  Hvem er Jacob Jahn? <br />  Hva vil han? </div>  <div>&#160;</div>  <p><strong>Nasjonaldagen</strong> er en bok om <br />  de små dramaene som skjer <br />  samtidig som de store. <br />  Språket er gjentagende og enkelt.  </p>  ",74
201,"  <div>Liket av en kvinne blir funnet <br />  i den lille bygda Elvestad. <br />  Liket er ille tilredt. <br />  Konrad Sejer og hans assistent Skarre <br />  får litt av en oppgave med å finne ut <br />  hva som har skjedd. <br />  Dagen før har ungkaren Gunder Jomann <br />  ventet forgjeves på sin nye kone, <br />  Poona fra Mumbai i India. </div>  <div><br />  <strong>Elskede Poona</strong> er både en <br />  spennende krim og en vakker <br />  kjærlighetshistorie. </div>  <p>Denne boka har ganske enkel tekst. <br />  Noen ord er vanskelige, men <br />  historien er spennende <br />  og lett å følge. </p>  ",75
202,"  <div><strong>Bare mjuke pakker under treet</strong> <br />  er en samling julefortellinger <br />  uten glanspapir. <br />  Menneskene i denne boka <br />  sliter med sitt, <br />  men snart er det jul, <br />  og med jula kommer håp <br />  om forandring. </div>  <div>&#160;</div>  <div>Fonten på teksten i disse <br />  novellene er ganske liten, <br />  og teksten står tett, <br />  men det er likevel fortellinger <br />  som er lette å lese. <br />  Fortellingene har et muntlig preg. <br />  Mannen og kvinnen i gata </div>  <div>kan kjenne seg igjen <br />  i livene til hovedpersonene. </div>  <div>&#160;</div>  <div><strong>Bare mjuke pakker under treet</strong></div>  <div>er nå filmatisert av Bent Hamer. </div>  <div>Filmen heter <strong>Hjem til jul</strong>. </div>  <div>&#160;</div>  <div><strong>Levi Henriksen</strong> har gitt ut flere bøker</div>  <div>som har blitt godt mottatt, </div>  <div>blant annet <strong>Snø skal falle over snø som har falt.</strong> </div>  <div>For <strong>Leser søker bok</strong> har han skrevet bøkene </div>  <div><strong>Den aller siste mohikaner</strong> (2006), </div>  <div><strong>Trekkspill-tvillingene</strong> (2007) og </div>  <div><strong>Lukten av propan om morgenen</strong> (2010). </div>  ",76
366,"  <div><strong>Gravenstein</strong> er en liten, gul bok <br />  om gravensteinepler. <br />  Gjennom tegninger fortelles <br />  to historier som henger sammen. <br />  I fortellingene møtes de som er <br />  så glade i gravensteinsepler <br />  at de må legge ut på flukt. </div>  <div>&#160;</div>  <div><strong>Øyvind Torseter</strong> har tegnet denne boka <br />  der historiene fortelles <br />  ved hjelp av tegninger <br />  og bare bittelitt tekst. </div>  <div>Det er tydelig layout med én  tegning per side. </div>  ",77
203,"  <div><strong>Anna Sam</strong> jobbet som kassadame <br />  i Frankrike i åtte år. <br />  I denne boka deler hun <br />  morsomme og irriterende hendelser. </div>  <div><br />  <strong>En kassadames betroleser</strong> <br />  er en morsom og krass bok <br />  om livet som kassadame. </div>  <div>Boka er delt opp i mange små kapitler. <br />  Det går fint an å bla i boka <br />  og lese litt her og der. <br />  De franske forholdene er dessverre ikke <br />  oversatt til norsk, men det er likevel <br />  mulig å kjenne seg igjen i mye. </div>  <div>&#160;</div>  <p><strong>Anna Sam</strong> begynte å skrive blogg om <br />  dagene bak kassen. Denne boka er <br />  et resultat av at bloggen fikk <br />  masse positiv oppmerksomhet.</p>  ",78
204,"  <div>Ein dag ser ho ei jente </div>  <div>som er heilt lik henne sjølv. <br />  Jente som går rundt i gatene, <br />  stoppar opp framfor ei grøn tredør </div>  <div>og bankar på. <br />  Maria bestemmer seg for å banka på </div>  <div>den grøne døra. </div>  <div>&#160;</div>  <div><strong>I dag er ein fin dag</strong> gir ei nær <br />  og klar skildring av Maria og livet hennar.</div>  <div>&#160;</div>  <p><strong>Ingrid Z. Aanestad</strong> er født i 1983.<br />  Dette er den første boka hennar.</p>  ",79
205,"  <div>Mannen til Chloé har plutseleg forlatt ho <br />  og dei to døtrene.<br />  Ho er ulykkeleg, mistar fotfestet. <br />  Derfor bestemmer svigerfaren seg <br />  for å ta henne med på landet. <br />  Dei opnar ei flaske vin,<br />  og med vinen opnar også svigerfar seg.<br />  Mannen som aldri har delt med nokon,<br />  fortel om livet sitt, <br />  om kjærleika han ikkje kunne få.</div>  <div><br />  Gjennom denne tilståinga i eit kjøkken ei natt,<br />  set Gavalda ord på vår tvil og vår svakhet.<br />  Boka er kort, men den rommar mykje.</div>  <div>&#160;</div>  <div><strong>Anna Gavalda</strong> er født i Frankrike i 1970. <br />  Sidan debuten i 1999, har ho skrive <br />  både noveller og romanar. <br />  Bøkene hennar er blitt omsette til 36 språk.<br />  Den mest kjende boka hennar, </div>  <div><strong>Saman er ein mindre aleine</strong>,<br />  er også ganske lett, men tjukk. </div>  ",80
206,"  <div><strong>Det Nalda sa</strong> er en rørende bok <br />  om en gutt som har vokst opp <br />  alene med tanten sin, Nalda. <br />  Når Nalda forsvinner må han <br />  klare seg selv. <br />  Inni seg bærer han på en <br />  stor hemmelighet, som gjør <br />  at han er redd for andre mennesker. <br />  En dag møter han noen mennesker<br />  han lurer på om han likevel kan stole på. </div>  <div>&#160;</div>  <div>Boka har et ganske enkelt språk <br />  og et rolig tempo. <br />  Historien er spennende og litt trist. <br />  Fonten er liten og tett, men kapitlene<br />  er korte. </div>  <div>&#160;</div>  <p><strong>Det Nalda sa</strong> er den første boka til <br />  Stuart David, som også har spilt bass <br />  i popgruppa Belle &amp; Sebastian.</p>  ",81
207,"  <div>Hun setter i gang å skrive. <br />  Men snart blir hun avbrutt av <br />  moren sin, som sier at forfatteren <br />  husker helt feil. <br />  Det var ikke sånn det var! sier moren. <br />  Jo, det var det! sier forfatteren. </div>  <div>&#160;</div>  <div><strong>En rekke avbrutte forsøk</strong> er en morsom bok <br />  om å prøve å huske og <br />  om å huske forskjellig. <br />  Boka er delt inn i korte kapitler. <br />  Noen av kapitlene handler om <br />  forfatterens barndom og ungdom,<br />  mens andre er diskusjoner <br />  med moren og andre <br />  som husker annerledes.  <br />  Språket er muntlig og lett å lese. </div>  <div>&#160;</div>  <p><strong>Selma Rønning Aarø</strong> har skrevet flere romaner, <br />  blant annet den lettleste boka <br />  <strong>Fortvilet kreps `72</strong> som inneholder <br />  mange av de samme historiene som <br />  <strong>En rekke avbrutte forsøk</strong>. </p>  ",82
361,"  <div>To menn bor i hver sin blokk: <br />  En ung og en gammel.<br />  Begge er blitt forlatt av kvinnene de elsker.<br />  Den gamle falt i dusjen, den unge gikk sin vei.<br />  Hvordan hadde de det sammen?<br />  Hvordan takler de savnet?</div>  <div>&#160;</div>  <div>Boka har ganske enkel tekst <br />  og mye luft på sidene.<br />  Noen av setningene er lange. </div>  <div>&#160;</div>  <p><strong>Solveig Moen Rusten</strong> (født 1981) <br />  jobber på Deichmanske bibliotek.<br />  Dette er hennes første roman.</p>  ",83
208,"  <div>Herman går i blinde, kræsjer i en gammel dame <br />  og kommer for sent på skolen. <br />  Herman lurer på hvor mange fugler <br />  det er plass til i det store, <br />  røde håret til Ruby. <br />  Herman trives best hos bestefar, <br />  som ligger hele dagen i en himmelseng. <br />  Og en dag begynner Herman å <br />  miste håret. <br />  Herman er en gutt som må tørre <br />  å være den han er. </div>  <div>&#160;</div>  <div><strong>Herman</strong> er en morsom bok <br />  med mye alvor. Den er lett å lese, <br />  og får deg både til å le og gråte. </div>  <div>&#160;</div>  <div><strong>Lars Saabye Christensen</strong> </div>  <div>er en av Norges mest kjente forfattere. </div>  <div><strong>Herman</strong> er en av hans mest kjente bøker. </div>  <div>Boka har blitt filmet, og filmen heter også <strong>Herman</strong>. </div>  ",84
